Temps (ms), Température (°C), Humidité (%), Pression (hPa), TVOC (ppb), eCO2 (ppm), Latitude, Longitude
413230,4.44,64.83,993.8,48,496,48.843384,2.614656
414316,4.43,64.87,993.78,49,506,48.843389,2.614635
415405,4.45,64.69,993.73,63,508,48.843406,2.614617
416491,4.5,64.93,993.7,68,524,48.843404,2.614602
417577,4.52,64.76,993.65,77,536,48.843409,2.614588
418663,4.54,64.58,993.65,80,530,48.843411,2.614575
419749,4.57,64.66,993.6,78,523,48.843414,2.61458
420835,4.6,64.55,993.55,95,539,48.843408,2.614576
421921,4.61,64.52,993.53,90,529,48.843411,2.614588
423007,4.64,64.35,993.5,97,537,48.843412,2.614593
424093,4.66,64.42,993.45,99,537,48.843411,2.614598
425181,4.69,64.84,993.4,102,527,48.843413,2.614589
426267,4.71,64.65,993.4,95,525,48.843416,2.61457
427353,4.71,64.36,993.38,97,524,48.843419,2.614543
428439,4.72,64.42,993.4,102,513,48.843425,2.614513
429525,4.72,64.37,993.35,98,521,48.843428,2.614483
430611,4.74,64.27,993.38,93,509,48.843426,2.614454
431697,4.76,64.09,993.4,95,500,48.843422,2.614425
432783,4.75,64.25,993.4,93,496,48.843414,2.614394
433871,4.74,64.35,993.4,87,474,48.843403,2.614362
434957,4.75,64.43,993.43,90,463,48.843372,2.614324
436043,4.71,64.23,993.5,73,429,48.843362,2.61432
437129,4.68,64.38,993.53,60,412,48.843349,2.614314
438215,4.59,64.46,993.68,48,400,48.843326,2.614303
439301,4.55,64.48,993.93,38,400,48.843298,2.614295
440387,4.49,64.28,993.98,24,400,48.843274,2.61429
441473,4.44,64.24,994.03,12,400,48.843248,2.614285
442559,4.4,64.25,994.1,4,400,48.84322,2.614289
443648,4.38,63.97,994.15,3,400,48.843188,2.614298
444734,4.36,64.01,994.15,1,400,48.843153,2.614305
445820,4.31,64.01,994.18,0,400,48.843116,2.614292
446906,4.3,64.08,994.2,0,400,48.843076,2.61429
447992,4.28,64.21,994.2,0,400,48.843002,2.614284
449078,4.25,64.19,994.28,0,400,48.842967,2.614283
450164,4.24,64.29,994.35,0,400,48.842933,2.614281
451250,4.19,64.28,994.35,0,400,48.8429,2.614275
452336,4.17,64.11,994.35,0,400,48.842869,2.614267
453425,4.14,64.15,994.35,0,400,48.842846,2.61426
454511,4.13,64.2,994.33,0,411,48.842826,2.614248
455597,4.13,64.29,994.28,0,400,48.842808,2.614234
456683,4.11,64.29,994.25,0,400,48.842806,2.614202
457769,4.1,64.27,994.35,0,400,48.842801,2.614156
458855,4.09,64.27,994.3,0,400,48.842796,2.61411
459941,4.09,64.17,994.3,0,400,48.84279,2.614064
461027,4.1,64.36,994.33,5,417,48.84277,2.613975
462113,4.12,64.21,994.35,5,413,48.84276,2.613938
463201,4.13,63.92,994.35,6,413,48.842748,2.613906
464287,4.13,63.98,994.3,4,414,48.842732,2.613885
465373,4.16,63.77,994.25,9,413,48.842715,2.613877
466459,4.15,63.83,994.25,5,408,48.842696,2.613869
467545,4.16,63.81,994.2,8,406,48.842672,2.613862
468631,4.19,63.97,994.2,5,400,48.842649,2.613859
469717,4.19,64.21,994.23,0,400,48.84263,2.613863
470803,4.2,64.27,994.2,0,400,48.842615,2.613878
471889,4.19,64.15,994.15,0,400,48.842611,2.61388
472978,4.22,64.27,994.15,1,400,48.842605,2.613882
474064,4.24,64.1,994.13,0,417,48.842605,2.613874
475150,4.24,63.97,994.05,10,434,48.842596,2.613862
476236,4.25,64.03,994.03,9,448,48.842583,2.613849
477322,4.27,64.12,994.0,13,437,48.842569,2.613836
478408,4.28,64.21,994.0,11,438,48.84255,2.613824
